"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821381722,1.18824979081567,-5.7095471560404,5.63771445762101e-07,6.71898920980335e-05
"ACACB",20934.4242554714,-5.18996150712534,0.955604407222773,-5.43107740807588,5.80948687752048e-06,0.000476718129235053
"ADH1A",1129.85774853476,-8.59998323771456,1.26915279139963,-6.77616067662781,1.06068151517525e-09,3.21572583574447e-07
"ADH1B",121455.243509556,-7.89878996368321,1.4401177967014,-5.4848221317558,8.32424873520569e-07,9.52657896642978e-05
"ADH1C",639.461889115021,-5.74549508354831,0.954157452318223,-6.0215377132873,3.28787104449987e-07,4.27200748270693e-05
"ADRA1A",134.885667454895,-5.99259793861809,0.963551750403451,-6.21927980112009,1.10082335927535e-07,1.78490477032201e-05
"ADRB2",745.534635806452,-4.34414011933998,0.799041967673618,-5.43668580010609,1.4246578163728e-05,0.00100899638216141
"AGTR1",1403.88687727782,-4.00812405734205,0.821790607127099,-4.87730575475189,0.000125886515182788,0.00555369544409506
"ABCD2",1515.18307558519,-6.45113849071102,0.988061674819835,-6.52908482852281,1.72415735997944e-08,3.77153966301326e-06
"ANGPT1",1271.08965962945,-3.73879005255591,0.630743600679226,-5.92759093953507,7.05441477877358e-06,0.000559207989871496
"ANK2",3490.9282083904,-3.12994660454622,0.548211898471179,-5.70937371712439,5.1109892059895e-05,0.00288637269505571
"AOX1",2219.04674833068,-4.20812537499006,0.585046165759552,-7.19280908289818,2.08446312727443e-08,4.33995268703968e-06
"APLP1",461.212816450921,4.01292489122335,0.593480686268521,6.76167731161465,1.92020721941866e-07,2.81212719989609e-05
"APOB",786.311864964263,-6.93796679592045,1.03607113085277,-6.69641937635105,4.98511961695431e-09,1.26688017794981e-06
"AQP7",5638.39472753208,-8.18929863420577,1.06026844231708,-7.72379739635473,5.98223489695617e-12,4.7882935851897e-09
"ABCC6",618.647546114642,-3.45188964054389,0.699069122269607,-4.93783737627682,0.000226285189468421,0.0087677900430578
"ASPA",331.311076963058,-5.44378088703379,0.813481486054481,-6.69195424893691,2.34513053894016e-08,4.76778833452058e-06
"ATP1A2",5050.25301489267,-8.28626419843324,0.789972613977135,-10.4893056440474,1.43860550071411e-20,1.24302708289203e-16
"KIF1A",486.85875495772,5.55411782845014,1.18249071811636,4.69696526438495,5.87628885141589e-05,0.00320341159751792
"BMP3",206.472552960009,-5.63390271764194,1.0860348518194,-5.1875892455971,9.91496545903028e-06,0.000758143885387178
"BUB1",1267.38529933137,5.13328884073145,0.951452002141668,5.39521576409182,6.98956284629969e-06,0.000556620440308317
"BUB1B",818.379924736921,4.30918730175662,0.879048975447556,4.90210150072998,8.34392825899469e-05,0.00407320407468043
"C6",1609.18560299474,-6.06275967621809,1.35570966317813,-4.47201922423821,9.41769079883864e-05,0.00441049091313633
"CA3",925.817048303315,-4.7660179690655,1.01459115380126,-4.69747636888923,0.000102878446857265,0.00474091317370774
"CA4",703.68994950951,-9.39970053051407,0.686000379510753,-13.7021797819089,8.99410750397883e-35,1.55427171776258e-30
"CA9",324.531315982061,6.08748850512587,1.39526695816579,4.36295611352285,0.000133237955254078,0.00578513845413497
"CASQ2",402.70859374858,-4.37033978770661,0.903841177791065,-4.83529617270533,9.61574237935733e-05,0.00447896614710712
"CAV1",34051.5414263478,-3.41415002102935,0.602540320448175,-5.66625984214612,3.07969362075438e-05,0.00192826758913973
"CAV2",9243.81723852368,-3.0138676469712,0.578405636739037,-5.21064708837025,0.000249068124600665,0.00939769926031461
"CD36",87850.5157676665,-6.28737852460382,0.867889884377819,-7.2444426853888,5.56767871030652e-10,1.88656972142759e-07
"CDK1",1562.02927498266,3.54174885306293,0.668697343965957,5.29649008631809,7.20435015298718e-05,0.00370322145681996
"CDC6",1137.50805203499,3.7426994265258,0.765109977638986,4.89171431024232,0.000168725038514322,0.00694223188229999
"CDC20",1514.11708425023,5.07437319344154,1.02291043302283,4.96072092885603,3.40098878576583e-05,0.00207676633239644
"CDH2",244.946231089258,3.18537966473186,0.59038016827212,5.39547199570505,0.000107101758153322,0.00487059337538831
"CDKN3",447.492105454576,4.16829146429436,0.892434869998304,4.67069542486869,0.000192498032635324,0.00776647115986781
"CDO1",3072.63197290145,-4.62466646949151,0.941554488233938,-4.9117353560344,5.91416417547634e-05,0.0032139204753587
"CEBPA",6629.32748730235,-4.02784382088445,0.757081129909966,-5.32022746540183,3.17563391437513e-05,0.00196695805284289
"CENPA",300.059627371574,4.40375065670808,0.960022041212375,4.587134948638,0.000195949369033842,0.00785661495655179
"CENPE",790.273590786286,3.50808713945171,0.688244002894303,5.0971561316902,0.000134121254624571,0.00579437350291804
"CENPF",3531.69504023609,3.65785593085621,0.761621187465193,4.80272344185984,0.000241750569637375,0.00924268051748555
"CES1",5781.81326884817,-4.89901852705559,0.577418063135176,-8.48435274167846,7.26568804349331e-12,5.45905891650469e-09
"CHIT1",570.601275579274,-5.84461999675082,1.20990088198986,-4.83066016708614,3.11286292329091e-05,0.00194199942878665
"CIDEA",4806.82629384398,-8.80162642844654,1.2927826777371,-6.80827998395912,7.96038402210606e-10,2.54747030159287e-07
"CKMT2",315.620655840062,-4.4897749414361,0.696610561882886,-6.44517207620364,2.72645887500373e-07,3.70991620621571e-05
"CMA1",155.286680594356,-5.4709123964617,1.04869505518617,-5.21687631633821,1.00713671338964e-05,0.000766710552602923
"CNTFR",1909.83744468076,-6.65284748666576,1.09870472027609,-6.05517329987802,1.33754455606225e-07,2.02755328713262e-05
"COL10A1",4375.94741759555,7.03381190159957,0.814682844550709,8.63380387674502,6.49201032107819e-14,1.60269186226503e-10
"COL11A1",9281.82763020736,9.66860817137243,1.12086350223095,8.62603533091062,5.21644179251493e-15,1.80290661232901e-11
"COMP",4512.9720154486,4.72937324981492,0.889586358122555,5.31637339830179,1.38097972490215e-05,0.000982086857038442
"CPA1",89.1090541511921,-8.84048262151979,1.26741123717099,-6.97522821499735,3.08127332404772e-10,1.18327742917486e-07
"CPM",8707.12631331505,-4.07904842703909,0.812883863465256,-5.01799655568318,7.59911583606732e-05,0.0038510357995038
"CRHBP",297.38247177635,-6.39848124897591,0.914852563631782,-6.9940026440711,1.8072878446203e-09,5.11995758080056e-07
"HAPLN1",411.046589800237,6.07013306425333,1.33877998968264,4.53407812413767,7.62631018807504e-05,0.00385351656023757
"CSN1S1",28.5058179973372,-5.39637401415692,1.05457848580638,-5.11709093897418,1.53080276920633e-05,0.00106668559091349
"CST1",439.02464147324,10.038662927843,1.38589523764982,7.24345004956252,3.47131804957284e-11,1.93509184563446e-08
